시도,농업인 수(명),성별(명),,연령(명),,,,,,,,,,,,,국적(명),,농업시작형태(명),,농업종사형태(명),,농업종사기간(명),,,,,,,경영주와의 관계(명),경영주와의 관계(명),경영주와의 관계(명)
,,남,여,25세 미만,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80세 이상,내국인,외국인,전생애 종사,다른 산업에서 전환,전업,겸업,5년 미만,5~9년,10~14년,15~19년,20~24년,25~29년,30년 이상,경영주,가족,피고용인
서울특별시,20261,12587,7674,12,59,205,350,592,1046,2051,3645,4113,3425,2558,1485,720,20226,33,3653,8428,6537,13724,3875,4879,4313,1871,1555,517,3251,16022,4229,10
부산광역시,25627,14300,11327,14,60,169,370,713,1414,2596,4733,5341,4455,2915,1798,1049,25618,7,7726,15685,16436,9191,3538,4906,4919,1931,1961,918,7454,17974,7639,12
대구광역시,48509,26592,21917,31,135,364,835,1700,3421,5621,8783,8839,7646,5254,3603,2277,48499,9,16905,27841,31927,16582,6001,8457,9095,4130,4279,1648,14899,31372,17115,21
인천광역시,35149,19165,15984,45,126,290,544,1009,1947,3503,5640,5691,4914,4615,3774,3051,35134,12,19944,11905,25590,9559,2407,4120,4438,2249,2844,1426,17665,22273,12831,43
광주광역시,32733,18272,14461,19,98,245,582,1235,2393,3781,5528,5230,4926,3972,2908,1816,32722,1,13562,14489,20537,12196,4105,5123,5054,2328,2789,1180,12154,23669,9036,24
대전광역시,29865,17215,12650,20,76,213,411,969,2128,3511,5743,5625,4435,3182,2247,1305,29850,14,8452,16049,16254,13611,3591,6134,6101,2763,2566,961,7749,20311,9526,27
울산광역시,37778,19521,18257,23,77,235,644,1386,2953,4817,7154,6874,5251,3604,2706,2054,37774,4,15075,17390,23688,14090,3351,5853,6225,3457,3420,2146,13326,23708,14057,13
세종특별자치시,16249,8765,7484,46,81,182,279,615,1092,1657,2692,2688,2157,1767,1617,1376,16237,12,10960,4474,13181,3068,1203,1605,1972,1042,1359,691,8377,10069,6156,24
경기도,310807,180904,129903,380,1217,2735,5538,10981,21146,35864,54849,53277,40161,35526,28883,20250,310521,184,156674,110822,221134,89673,19484,35328,44049,23971,30674,14228,143073,207206,103316,222
강원도,161158,87694,73464,217,577,1416,2572,5563,11256,18090,29020,27295,18493,19710,16755,10194,161031,112,86686,66447,126163,34995,12510,20682,20742,11305,14079,5725,76115,100311,60672,162
충청북도,165891,90320,75571,205,626,1324,2497,5241,10766,17510,28532,27894,21015,19777,17873,12631,165773,100,100455,59883,136102,29789,14296,19012,17518,10004,13436,6312,85313,105444,60281,150
충청남도,296724,156545,140179,426,1247,2673,4798,9741,17640,27022,43987,44981,42140,36730,35299,30040,296556,155,206579,82354,249357,47367,17473,24813,25616,14137,20996,11116,182573,184184,112364,172
전라북도,230874,120259,110615,572,1331,2786,5171,9554,15807,22222,32798,32931,33081,29086,26255,19280,230758,109,170980,53006,198707,32167,18012,24170,20805,11327,19102,8716,128742,143007,87642,218
전라남도,339610,169239,170371,662,1527,3371,6421,11925,20713,30491,45430,43787,48328,47352,46992,32611,339498,102,265713,68854,286810,52800,21322,28391,25218,14734,24921,11695,213329,215407,123915,279
경상북도,411835,214579,197256,562,1585,3718,7029,13952,25930,39824,62286,65357,58908,49930,47400,35354,411614,210,260749,142780,349252,62583,33082,46511,40217,20355,29959,13130,228581,254390,157054,385
경상남도,307032,153775,153257,394,1103,2528,5222,10704,20436,29630,46830,47105,42345,36681,35770,28284,306954,55,198523,95760,247953,59079,23568,33036,31474,15951,24042,10478,168483,194762,111901,351
제주특별자치도,75423,40484,34939,183,490,1350,2997,5677,8374,9367,10297,9200,8688,8181,6693,3926,75204,214,47151,24886,55711,19712,7935,9567,9156,5046,6907,2905,33907,48245,27117,56
총계,2545525,1350216,1195309,3811,10415,23804,46260,91557,168462,257557,397947,396228,350368,310840,282058,206218,2543969,1333,1589787,821053,2025339,520186,195753,282587,276912,146601,204889,93792,1344991,1618354,924851,2169
