시도,경영체수(건),성별(명),,연령(건),,,,,,,,,,,,,국적(건),,농업시작형태(건),,농업종사형태(건),,농업종사기간(건),농업종사기간(건),농업종사기간(건),농업종사기간(건),농업종사기간(건),농업종사기간(건),농업종사기간(건)
,,남,여,25세 미만,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80세 이상,내국인,외국인,전생애 종사,다른 산업에서 전환,전업,겸업,5년 미만,5~9년,10~14년,15~19년,20~24년,25~29년,30년 이상
서울특별시,24151,16460,7691,21,111,276,465,775,1174,1944,3082,4523,4686,3138,2266,1690,24116,35,3096,21055,10415,13736,6675,5315,3945,3412,1663,1140,2001
부산광역시,21531,14330,7201,7,36,133,234,518,820,1459,2565,3990,4344,3422,2264,1739,21527,4,4300,17231,11409,10122,3162,4110,3512,3625,1542,1222,4358
대구광역시,44603,31451,13152,13,84,246,474,1060,1870,3647,5939,8333,7832,6300,4357,4448,44592,11,10832,33771,24709,19894,6723,7704,6360,6617,2986,3022,11191
인천광역시,25409,17635,7774,18,71,174,242,526,871,1733,2925,4666,4594,3260,2811,3518,25393,16,8957,16452,15918,9491,5392,3114,2429,2652,1392,1563,8867
광주광역시,30357,19691,10666,16,117,297,539,1165,1814,3121,4353,5436,4581,3563,2767,2588,30355,2,7814,22543,16309,14048,6877,5410,4355,3596,1840,1626,6653
대전광역시,23605,16664,6941,14,66,151,338,631,1071,2160,3362,4713,4365,2988,1974,1772,23591,14,3955,19650,11484,12121,4591,3921,3990,3640,1849,1477,4137
울산광역시,27279,18687,8592,13,39,128,238,570,1122,2243,3971,5454,5117,3665,2405,2314,27276,3,6129,21150,14383,12896,3056,4044,3725,4265,2358,1981,7850
세종특별자치시,13262,9311,3951,4,44,101,257,504,760,1158,1601,2395,2363,1565,1058,1452,13257,5,5245,8017,8031,5231,2166,1797,1652,1428,888,799,4532
경기도,225671,165503,60168,201,882,1776,2985,5904,9440,18007,29443,42408,40913,27852,22157,23703,225538,133,83500,142171,134521,91150,31963,27120,25174,28637,17045,18012,77720
충청북도,117186,85772,31414,86,356,652,1273,2360,4000,8415,14150,21487,22246,15386,11586,15189,117143,43,47653,69533,82070,35116,16709,15418,14184,12236,6649,7911,44079
충청남도,201298,142408,58890,197,713,1302,2261,4320,7138,13274,20159,32173,33419,27673,22884,35785,201219,79,102190,99108,147781,53517,24478,20032,19176,16948,10052,12121,98491
전라북도,165773,111888,53885,338,1081,1495,2627,4742,7643,12809,18358,25679,25256,21207,18510,26028,165735,38,91344,74429,126126,39647,28444,18730,16961,13998,7652,10802,69186
전라남도,245906,159627,86279,425,1278,1916,3278,6193,9853,17405,25777,36298,35227,31517,29812,46927,245851,55,145511,100395,183837,62069,31911,26594,24666,18061,11679,14786,118209
경상북도,276774,196410,80364,269,951,1694,3066,6364,10602,19850,30399,45976,46380,39107,29521,42595,276718,56,119303,157470,207224,69550,34712,34254,33868,27958,13655,17406,114921
경상남도,214330,142955,71375,140,608,1137,2150,4652,7791,15833,23645,34967,36258,29114,23584,34451,214282,48,100675,113655,150796,63534,22976,26895,25431,22043,11732,14324,90929
제주특별자치도,54639,39868,14771,40,237,598,1142,2657,4498,6968,7935,8515,7239,4948,4955,4907,54595,44,23982,30657,32898,21741,6724,8296,7142,6627,3680,4367,17803
강원특별자치도,110709,81381,29328,82,302,641,1066,2209,3989,8367,13623,21378,21562,13554,11354,12582,110643,66,41540,69169,74163,36546,13858,14223,14529,13547,7561,8132,38859
총계,1822483,1270041,552442,1884,6976,12717,22635,45150,74456,138393,211287,308391,306382,238259,194265,261688,1821831,652,806026,1016456,1252074,570409,250417,226977,211099,189290,104223,120691,719786
