시도,농업인 수(명),성별(명),,연령(명),,,,,,,,,,,,,국적(명),,농업시작형태(명),,농업종사형태(명),,농업종사기간(명),,,,,,,경영주와의 관계(명),경영주와의 관계(명),경영주와의 관계(명)
,,남,여,25세 미만,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80세 이상,내국인,외국인,전생애 종사,다른 산업에서 전환,전업,겸업,5년 미만,5~9년,10~14년,15~19년,20~24년,25~29년,30년 이상,경영주,가족,피고용인
서울특별시,27931,17345,10586,49,134,306,497,827,1268,2104,3447,5237,5529,3806,2730,1997,27889,42,4982,22949,13834,14097,7377,5842,4636,4123,1973,1428,2552,24151,3777,3
부산광역시,27637,15582,12055,12,59,165,282,622,971,1720,3164,5105,5739,4611,2926,2261,27629,8,6254,21383,16965,10672,3639,4777,4456,4773,2073,1719,6200,21531,6093,13
대구광역시,60707,34267,26440,31,127,326,604,1322,2292,4535,7624,11308,11019,9092,6147,6280,60687,20,18558,42149,39358,21349,8125,9392,8457,9139,4226,4340,17028,44603,16103,1
인천광역시,33972,19145,14827,38,98,220,326,674,1082,2105,3682,6091,6176,4551,3922,5007,33947,25,13676,20296,23895,10077,6617,3598,3094,3492,1867,2163,13141,25409,8544,19
광주광역시,37432,21021,16411,44,149,342,596,1303,2008,3530,5092,6707,6023,4798,3577,3263,37427,5,10842,26590,22870,14562,7535,6243,5295,4620,2418,2181,9140,30357,7072,3
대전광역시,29799,17774,12025,26,85,177,377,712,1201,2449,4002,5929,5773,4066,2639,2363,29776,23,6265,23534,17227,12572,5071,4464,5049,4826,2457,2000,5932,23605,6186,8
울산광역시,37439,20260,17179,30,67,160,300,731,1377,2918,5183,7453,7324,5332,3253,3311,37429,10,11764,25675,24226,13213,3572,4885,5090,5996,3391,2945,11560,27279,10159,1
세종특별자치시,18245,10098,8147,15,71,148,320,624,899,1432,2117,3373,3347,2255,1534,2110,18224,21,8258,9987,12761,5484,2586,2255,2187,2000,1218,1175,6824,13262,4977,6
경기도,311267,180317,130950,631,1587,2559,4150,7690,12051,23001,38295,58093,57111,39827,31182,35090,310940,327,133267,178000,214872,96395,39419,33740,33387,38580,23792,25854,116495,225671,85463,133
충청북도,166330,92259,74071,194,604,987,1860,3304,5240,10863,19093,30942,32713,22642,16245,21643,166027,303,75674,90655,129002,37328,20400,20199,19575,17011,9642,11584,67919,117186,49083,61
충청남도,291869,155348,136521,511,1191,1909,3403,6185,9922,17882,28200,47714,50287,41598,32655,50412,291348,521,160486,131382,232693,59176,31601,27029,26836,24057,14729,18037,149580,201298,90355,216
전라북도,230414,122546,107868,551,1436,2017,3496,6141,9663,16310,24257,36771,37211,31440,26127,34994,230061,353,137212,93202,187076,43338,34824,24017,23090,19283,10840,15668,102692,165773,64498,143
전라남도,337463,173400,164063,661,1666,2527,4376,8056,12611,22413,34417,52017,51696,45782,41040,60201,337044,419,211660,125802,267620,69843,38009,34182,33205,24856,16318,21346,169547,245906,91477,80
경상북도,394686,213072,181614,584,1391,2488,4385,8728,14087,26071,41891,67219,69203,58245,41402,58992,394289,397,190024,204661,318833,75853,42334,44561,46790,39495,19641,25760,176105,276774,117852,60
경상남도,312276,157564,154712,392,1080,1803,3311,6645,10713,21725,33440,53331,56241,44189,33413,45993,311580,696,159908,152367,242156,70120,30919,36994,37238,32392,17756,21659,135318,214330,97617,329
제주특별자치도,79243,44070,35173,192,566,987,1760,3860,5991,9224,10551,12311,10948,7743,7497,7613,79041,202,39104,40139,55234,24009,9191,11162,9878,9108,5237,6211,28456,54639,24590,14
강원특별자치도,158225,88648,69577,179,552,938,1599,3068,5351,10931,18591,30910,31432,19799,16057,18818,157988,237,66447,91778,117894,40331,17385,18527,19898,19102,10920,12053,60340,110709,47464,52
총계,2554935,1382716,1172219,4140,10863,18059,31642,60492,96727,179213,283046,440511,447772,349776,272346,360348,2551326,3609,1254381,1300549,1936516,618419,308604,291867,288161,262853,148498,176123,1078829,1822483,731310,1142
